Tweet,Keyword,tweet_lowercase,tweet_without_stopwords,tweet_stemmed
"Nepal reports 357 new Covid-19 cases The number of active cases stands at 1,982. ",COVID-19,"nepal reports 357 new covid-19 cases the number of active cases stands at 1,982. ","nepal reports 357 new covid-19 cases number active cases stands 1,982 .","nepal report 357 new covid-19 case number activ case stand 1,982 ."
"Nepal reports six new Covid-19 cases According to the Health Ministry, 966,929 infected people have recovered from the disease so far and the number of active cases stands at 147. ",COVID-19,"nepal reports six new covid-19 cases according to the health ministry, 966,929 infected people have recovered from the disease so far and the number of active cases stands at 147. ","nepal reports six new covid-19 cases according health ministry , 966,929 infected people recovered disease far number active cases stands 147 .","nepal report six new covid-19 case accord health ministri , 966,929 infect peopl recov diseas far number activ case stand 147 ."
"Pfizer CEO Bourla shows mild symptoms after testing positive for Covid Bourla, 60, said he had started a course of the company’s oral Covid-19 antiviral treatment, Paxlovid, and was isolating and following all public health precautions. ",COVID-19,"pfizer ceo bourla shows mild symptoms after testing positive for covid bourla, 60, said he had started a course of the company’s oral covid-19 antiviral treatment, paxlovid, and was isolating and following all public health precautions. ","pfizer ceo bourla shows mild symptoms testing positive covid bourla , 60 , said started course company ’ oral covid-19 antiviral treatment , paxlovid , isolating following public health precautions .","pfizer ceo bourla show mild symptom test posit covid bourla , 60 , said start cours compani ’ oral covid-19 antivir treatment , paxlovid , isol follow public health precaut ."
Nepal reports 17 new Covid-19 cases The number of active cases stands at 109. ,COVID-19,nepal reports 17 new covid-19 cases the number of active cases stands at 109. ,nepal reports 17 new covid-19 cases number active cases stands 109 .,nepal report 17 new covid-19 case number activ case stand 109 .
"Nepal reports 21 new Covid-19 cases According to the Health Ministry, 966,839 infected people have recovered from the disease so far and the number of active cases stands at 187. ",COVID-19,"nepal reports 21 new covid-19 cases according to the health ministry, 966,839 infected people have recovered from the disease so far and the number of active cases stands at 187. ","nepal reports 21 new covid-19 cases according health ministry , 966,839 infected people recovered disease far number active cases stands 187 .","nepal report 21 new covid-19 case accord health ministri , 966,839 infect peopl recov diseas far number activ case stand 187 ."
Nepal reports 34 new Covid-19 cases The number of active cases stands at 104. ,COVID-19,nepal reports 34 new covid-19 cases the number of active cases stands at 104. ,nepal reports 34 new covid-19 cases number active cases stands 104 .,nepal report 34 new covid-19 case number activ case stand 104 .
Nepal reports 14 new Covid-19 cases ,COVID-19,nepal reports 14 new covid-19 cases ,nepal reports 14 new covid-19 cases,nepal report 14 new covid-19 case
"US to end Covid-19 emergency declarations on May 11 Covid-19 cases are declining in the United States, though more than 500 people continue to die each day from the disease, government data showed. ",COVID-19,"us to end covid-19 emergency declarations on may 11 covid-19 cases are declining in the united states, though more than 500 people continue to die each day from the disease, government data showed. ","us end covid-19 emergency declarations may 11 covid-19 cases declining united states , though 500 people continue die day disease , government data showed .","us end covid-19 emerg declar may 11 covid-19 case declin unit state , though 500 peopl continu die day diseas , govern data show ."
"Nepal receives 345,600 doses of Pfizer-BioNTech’s bivalent Covid-19 vaccine The health ministry has asked the provincial health agencies to demand vaccine doses to be administered as booster and second booster shots. ",COVID-19,"nepal receives 345,600 doses of pfizer-biontech’s bivalent covid-19 vaccine the health ministry has asked the provincial health agencies to demand vaccine doses to be administered as booster and second booster shots. ","nepal receives 345,600 doses pfizer-biontech ’ bivalent covid-19 vaccine health ministry asked provincial health agencies demand vaccine doses administered booster second booster shots .","nepal receiv 345,600 dose pfizer-biontech ’ bival covid-19 vaccin health ministri ask provinci health agenc demand vaccin dose administ booster second booster shot ."
"Nepal reports 110 new Covid-19 cases According to the ministry, 985,103 infected people have recovered from the disease so far. The number of active cases stands at 2,062. ",COVID-19,"nepal reports 110 new covid-19 cases according to the ministry, 985,103 infected people have recovered from the disease so far. the number of active cases stands at 2,062. ","nepal reports 110 new covid-19 cases according ministry , 985,103 infected people recovered disease far . number active cases stands 2,062 .","nepal report 110 new covid-19 case accord ministri , 985,103 infect peopl recov diseas far . number activ case stand 2,062 ."
"As dengue becomes endemic to Nepal, infection, mortality risks escalate Experts warn a lethargic approach to taming the disease could spell trouble after the havoc caused by Covid-19.  — by @arjunpoudeltkp",COVID-19,"as dengue becomes endemic to nepal, infection, mortality risks escalate experts warn a lethargic approach to taming the disease could spell trouble after the havoc caused by covid-19.  — by @arjunpoudeltkp","dengue becomes endemic nepal , infection , mortality risks escalate experts warn lethargic approach taming disease could spell trouble havoc caused covid-19 . — @ arjunpoudeltkp","dengu becom endem nepal , infect , mortal risk escal expert warn letharg approach tame diseas could spell troubl havoc caus covid-19 . — @ arjunpoudeltkp"
